new_district	county	city	church	old_district	our_match	gcfa	our_status	score
North	Fayette	Schulenburg	Stevens Chapel UMC	Crossroads	Schulenburg Stevens Chpl	984954	active	0.50
North	Fayette	Winchester	Winchester UMC	Crossroads	Winchester	759112	active	1.00
North	Colorado	Altair	Wesley Chapel UMC	Crossroads	Altair: Wesley Chapel	984863	active	0.75
North	Colorado	Columbus	First UMC	Crossroads	Columbus: First	758447	active	1.00
North	Colorado	Columbus	St. Paul UMC	Crossroads	Columbus: St. Paul	984874	active	1.00
North	Colorado	Eagle Lake	Eagle Lake UMC	Crossroads	Eagle Lake	758505	active	1.00
North	Colorado	Weimar	Weimar UMC	Crossroads	Weimar	759167	active	1.00
North	Austin	Industry	Cherry Chapel UMC	Crossroads	Industry: Cherry Chapel	985127	active	1.00
North	Guadalupe	Staples	Staples UMC	Crossroads	Staples	759123	active	1.00
Central	Bexar	Helotes	Helotes Hills UMC	Las Misiones	Helotes Hills	763353	active	1.00
Central	Bexar	San Antonio	Alamo UMC	Las Misiones	Alamo	763488	active	1.00
Central	Bexar	San Antonio	Alamo Heights UMC	Las Misiones	Alamo Heights	763785	active	1.00
Central	Bexar	San Antonio	Bethany UMC	Las Misiones	Bethany San Antonio	763967	active	1.00
Central	Bexar	San Antonio	Bethel UMC	Las Misiones	Bethel San Antonio	763843	active	1.00
Central	Bexar	San Antonio	Chapel Hill UMC	Las Misiones	Chapel Hill	763307	active	1.00
Central	Bexar	San Antonio	Chinese UMC	Las Misiones	Chinese San Antonio	763854	active	1.00
Central	Bexar	San Antonio	Christ Fellowship UMC	Las Misiones	Christ Fellowship	756118	active	1.00
Central	Bexar	San Antonio	Colonial Hills UMC	Las Misiones	Colonial Hills	763898	active	1.00
Central	Bexar	San Antonio	East St. Paul UMC	Las Misiones	East St Paul	985925	active	1.00
Central	Bexar	San Antonio	Emanuel UMC	Las Misiones	Emanuel San Antonio	755570	active	1.00
Central	Bexar	San Antonio	Epworth UMC	Las Misiones	Epworth San Antonio	763945	active	1.00
Central	Bexar	San Antonio	Ernest T. Dixon UMC	Las Misiones	Ernest T Dixon	764016	active	1.00
Central	Bexar	San Antonio	Jacobs Chapel UMC	Las Misiones	Jacobs Chapel	985947	active	1.00
Central	Bexar	San Antonio	La Trinidad UMC	Las Misiones	La Trinidad San Antonio	755683	active	1.00
Central	Bexar	San Antonio	Laurel Heights UMC	Las Misiones	Laurel Heights	764062	active	1.00
Central	Bexar	San Antonio	Northern Hills UMC	Las Misiones	Northern Hills	763397	active	1.00
Central	Bexar	San Antonio	Oak Meadow UMC	Las Misiones	Oak Meadow	764073	active	1.00
Central	Bexar	San Antonio	Oxford UMC	Las Misiones	Oxford	764051	active	1.00
